Transaction ID;Date;Time;Card Type;Entry Mode;Amount;Transaction Type;Merchant Group;Transaction Country;Shipping Address;Billing Address;Gender;Age;Issuing Bank;Fraudulent
1;19/10/2023;05:31;MasterCard;Tap;391.56;POS;Clothing;Italy;61 Redwood St;726 Maple St;Female;55;XYZ Bank;No
2;16/10/2023;12:56;MasterCard;Tap;167.67;Online;Clothing;France;945 Pine St;252 Cedar St;Male;37;DEF Bank;No
3;29/09/2023;07:57;MasterCard;PIN;126.24;Online;Electronics;Spain;773 Oak St;177 Main St;Male;53;ABC Bank;No
4;13/10/2023;00:08;MasterCard;Tap;496.8;Online;Electronics;UK;436 Maple St;758 Main St;Male;21;DEF Bank;No
5;02/10/2023;23:19;MasterCard;Tap;446.88;POS;Grocery;France;887 Pine St;629 Main St;Male;52;XYZ Bank;No
6;03/10/2023;18:32;Visa;PIN;364.98;POS;Clothing;USA;512 Maple St;824 Birch St;Male;68;XYZ Bank;No
7;28/09/2023;03:51;MasterCard;Tap;392.7;Online;Electronics;Italy;748 Elm St;842 Main St;Female;48;ABC Bank;No
8;18/09/2023;21:25;Visa;PIN;488.92;POS;Grocery;Spain;141 Main St;259 Maple St;Male;65;ABC Bank;No
9;07/10/2023;13:17;Visa;Tap;266.52;Online;Food;Germany;459 Cedar St;331 Redwood St;Male;23;DEF Bank;No
10;10/10/2023;05:40;MasterCard;PIN;21.19;ATM;ATM Withdrawal;France;84 Pine St;215 Oak St;Female;29;DEF Bank;No
11;23/09/2023;13:21;MasterCard;Tap;387.25;ATM;Grocery;Spain;341 Redwood St;936 Redwood St;Male;25;XYZ Bank;No
12;30/09/2023;00:42;Visa;PIN;447.69;ATM;Food;Canada;632 Cedar St;129 Redwood St;Male;58;DEF Bank;No
13;25/09/2023;19:21;MasterCard;Tap;182.98;Online;Clothing;UK;351 Main St;754 Cedar St;Female;59;ABC Bank;No
14;20/10/2023;01:24;Visa;Tap;186.53;POS;Retail;France;544 Birch St;999 Pine St;Male;51;XYZ Bank;No
15;03/10/2023;02:17;Visa;PIN;439.53;Online;Retail;USA;255 Main St;126 Pine St;Male;21;DEF Bank;No
16;11/10/2023;10:15;MasterCard;Tap;251.63;POS;Electronics;France;728 Pine St;369 Pine St;Male;63;XYZ Bank;No
17;04/10/2023;21:44;Visa;PIN;391.42;POS;Electronics;USA;749 Main St;183 Birch St;Female;63;DEF Bank;No
18;12/10/2023;20:37;Visa;Tap;431.22;Online;Grocery;Germany;387 Redwood St;545 Elm St;Male;57;DEF Bank;No
19;01/10/2023;08:25;Visa;Tap;342.23;POS;Retail;Spain;318 Maple St;589 Elm St;Female;68;ABC Bank;No
20;18/10/2023;22:33;Visa;PIN;165.97;ATM;Grocery;USA;244 Redwood St;231 Oak St;Male;28;ABC Bank;No
21;07/10/2023;05:04;MasterCard;PIN;236.16;ATM;ATM Withdrawal;Italy;432 Cedar St;119 Pine St;Male;67;DEF Bank;No
22;25/09/2023;04:34;MasterCard;PIN;145.53;ATM;Electronics;France;696 Birch St;144 Birch St;Female;26;DEF Bank;No
23;13/10/2023;21:49;Visa;Tap;492.44;ATM;Grocery;Spain;262 Maple St;509 Birch St;Female;18;DEF Bank;No
24;20/10/2023;04:58;Visa;PIN;338.31;Online;ATM Withdrawal;Germany;982 Main St;176 Pine St;Male;20;XYZ Bank;No
25;08/10/2023;05:12;Visa;Tap;195.11;Online;Retail;Italy;287 Elm St;323 Birch St;Male;58;ABC Bank;No
26;15/10/2023;22:37;MasterCard;Tap;216.82;ATM;Clothing;Italy;378 Redwood St;523 Birch St;Female;33;ABC Bank;No
27;18/09/2023;21:07;Visa;PIN;33.88;ATM;Clothing;Spain;761 Birch St;87 Cedar St;Female;59;DEF Bank;No
28;21/10/2023;13:12;MasterCard;Tap;71.94;ATM;Grocery;Germany;285 Oak St;19 Pine St;Female;45;ABC Bank;No
29;14/10/2023;05:30;MasterCard;Tap;310.02;ATM;ATM Withdrawal;Canada;596 Main St;393 Elm St;Female;27;ABC Bank;No
30;29/09/2023;03:29;MasterCard;Tap;149.89;POS;Grocery;Germany;941 Birch St;594 Maple St;Female;28;ABC Bank;No
31;19/10/2023;15:23;MasterCard;PIN;261.38;POS;Clothing;Canada;935 Oak St;252 Cedar St;Female;28;DEF Bank;No
32;27/09/2023;11:10;Visa;Tap;198.09;ATM;Clothing;Germany;77 Oak St;242 Cedar St;Female;39;XYZ Bank;No
